gene_id,SRX033480,SRX033488,SRX033481,SRX033489,SRX033482,SRX033472,SRX033473,SRX033474,SRX033475,SRX033491
0,369,744,287,769,348,301,461,309,374,781
1,0,0,0,0,0,0,0,0,0,0
2,0,1,0,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,0,0
4,0,1,1,5,0,4,1,1,0,1
5,0,1,0,1,0,0,0,0,0,0
6,21,46,20,36,12,40,40,30,27,46
7,15,43,12,34,14,17,24,29,15,34
8,517,874,340,813,378,331,431,341,480,930
9,0,0,0,0,0,0,0,0,0,0
10,273,781,275,745,301,473,548,413,395,1153
11,11,24,13,34,27,28,31,23,20,36
12,1,2,5,3,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
14,19,29,27,110,27,63,27,24,14,164
15,19,24,19,42,22,14,31,25,28,37
16,97,194,51,101,67,165,200,287,152,181
17,108,176,83,166,78,99,114,93,99,195
18,858,1950,755,2078,916,1502,1794,1330,1286,2436
19,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
21,1,1,0,3,0,1,1,2,2,2
22,922,2427,892,2591,1174,1717,2250,1469,1232,2563
23,0,2,0,1,1,1,1,0,0,1
24,0,0,0,0,0,0,0,0,0,0
25,0,0,4,1,0,0,2,0,0,1
26,0,6,6,4,0,2,3,4,1,4
27,11,33,12,29,15,19,14,13,16,20
28,500,1224,447,1115,522,816,918,683,599,1469
29,2,1,1,8,0,6,5,2,1,5
30,0,0,0,0,0,0,0,0,0,0
31,224,411,178,417,204,240,301,180,238,363
32,0,0,0,0,0,0,0,0,0,0
33,616,1160,608,1341,584,728,823,615,722,1170
34,14,28,14,33,8,39,26,27,16,43
35,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0
38,2,2,0,2,0,2,2,1,1,0
39,114,259,143,256,122,153,200,157,171,285
40,0,0,0,0,0,0,0,0,0,0
41,24,83,28,61,31,47,51,60,20,65
42,0,0,0,0,0,0,0,0,0,0
43,30,69,28,87,39,85,98,43,51,106
44,2,1,1,4,0,5,2,8,10,11
45,0,0,0,0,0,0,0,0,0,0
46,10,20,8,19,9,27,29,13,18,13
47,657,1179,584,1283,585,587,841,589,708,1083
48,124,197,82,194,78,83,102,113,118,212
49,10,21,3,18,6,3,20,7,10,24
50,5,5,2,10,10,9,7,2,6,9
51,0,0,0,0,0,0,0,0,0,0
52,159,422,206,486,177,172,274,147,178,415
53,0,0,0,0,0,0,0,0,0,0
54,3,1,1,1,0,0,1,1,1,5
55,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0
57,0,2,1,0,0,1,0,1,1,2
58,0,0,0,0,0,0,0,0,0,0
59,0,3,0,5,2,4,0,1,1,0
60,0,0,0,0,0,0,0,0,0,0
61,204,538,208,566,243,292,382,227,187,464
62,0,0,0,0,0,0,0,0,0,0
63,218,391,195,404,169,122,148,96,161,392
64,545,1177,406,1071,525,468,649,460,501,1104
65,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
67,7,17,10,20,11,9,11,8,5,18
68,1176,2542,1043,2647,1209,1737,2011,1486,1369,3024
69,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0
